q1_score,q2_score,q3_score,q4_score,q5_score,total_score,grade
3.374770457129719,0.968921611641681,9.689484917533214,5.7934737285122075,6.242744505659372,26.069395220476196,C
7.755052967189994,7.893796334619244,1.9510580567282754,7.7876260834699815,4.7959548985558005,30.183488340563294,B
6.238958362916385,2.0883702045198382,9.89355015127519,5.692864780961342,0.24102506752160968,24.154768567194363,Fail
0.35590230806476386,8.059056470189018,1.282482056450649,3.324825374259408,7.037649152008011,20.05991536097185,Fail
5.771170823879065,9.419105448514799,3.547509359462767,8.456576590062678,6.069714279612337,33.26407650153165,B
2.4746298123314636,0.014257282875326238,4.0872592827626475,3.6426861489782225,4.774050614703836,14.992883141651497,Fail
1.4707348092903794,9.764827762008709,7.829216529408951,0.940650490373296,6.466820980551388,26.47225057163272,C
6.427774134799279,4.340763941969196,5.795074424343775,2.3037553790176215,8.822053133584596,27.689421013714465,C
4.698043214486816,3.7465309165326097,3.921133904575184,2.56600223463236,9.432525046585447,24.364235316812415,Fail
0.8134878064189976,3.4442804621718826,0.531495921729479,2.8505800382326307,7.335448971490596,14.975293200043586,Fail
3.881657061269955,0.2828492829097973,7.712010290366336,3.452449311574134,9.758438630354458,25.087404576474682,C
9.614175778465734,5.261427596891464,7.998582217528911,7.854432289352584,0.35138860282232787,31.08000648506102,B
2.9785939839021127,3.6214878348023682,3.5999880943977294,2.263904034597337,8.092142068857202,20.55611601655675,Fail
3.524810469433511,2.4003841876414977,8.824931274191465,7.181318781539937,7.6608536404987415,29.592298353305154,C
1.6136735838838312,7.503889270907016,6.357563343675191,7.845207602198016,6.028689360667185,29.34902316133124,C
2.3369044882536363,4.178188061062537,0.8987047068933995,9.330799035904192,9.43241863738965,26.177014929503414,C
4.926180939928696,4.722809643288011,3.3613048048314553,7.665980946514712,6.203776861817673,26.880053196380548,C
8.232263592464994,2.6915364097108974,3.9245168886226676,1.4319873792536397,1.3265316963019746,17.606835966354172,Fail
5.272551499506771,0.9132764436533236,0.5230685350968567,7.754468700550639,7.19713660110536,21.66050177991295,Fail
4.022946780763187,3.1578538343987894,2.370814049312715,3.9382116959759927,6.76887130825468,20.258697668705363,Fail
7.177605448162309,2.7053484413398907,2.429520001728267,6.522696690251003,0.3952033840042335,19.230373965485704,Fail
1.1493299705956683,9.70076618910001,0.28631704733641516,3.1579629876402304,6.8988274139435655,21.19320360861589,Fail
9.457497022259302,5.3223484767669795,0.4926073471073211,9.698723390242685,4.710206784313101,29.68138302068939,C
6.2375338436923276,2.7957100537056947,0.6002260112460844,9.758105039340265,2.6618147120402256,22.0533896600246,Fail
7.416272874518889,4.411435993690765,9.268722028146584,4.339224891323498,5.515753777771667,30.951409565451403,B
2.778328995646543,3.3897083719155985,5.276099006976114,6.260822006246655,3.933139999829951,21.638098380614863,Fail
3.83832951933044,1.9621565117029527,6.304264647136572,4.660580183188376,7.668658642490938,24.43398950384928,Fail
4.117476675902432,0.9690843467781107,3.354434065002363,1.8414706478471687,3.8709934540993043,14.153459189629379,Fail
4.5395883304785976,3.799095448241203,8.930149335126124,4.443659477949742,5.774426815152761,27.486919406948427,C
6.571976616400622,6.300938494554115,3.9180077092466172,0.48342906438057054,3.1706769731847215,20.445028857766648,Fail
7.145959227000623,2.5324536304025083,5.007794909406015,9.368455962844964,0.07981878343539806,24.13448251308951,Fail
1.115122123212764,7.454670382070553,6.747630413914187,9.327330712114518,5.122457802842256,29.767211434154277,C
6.82540478767157,5.161245842024868,0.5693495693731343,1.0889350822672728,0.095143608771453,13.740078890108299,Fail
8.450396488966426,3.0063192858167556,9.124749857193489,6.183945452575524,5.905712869103942,32.671123953656135,B
8.642306022615571,1.042431988847775,3.4203383987045766,3.562918871949492,2.375185507486287,19.043180789603703,Fail
7.587153211639207,3.1001635582184894,8.206222542831537,9.195792763590427,7.021010854690262,35.11034293096992,B
6.410861035821594,0.3184174454809785,4.073833258044338,3.872048178721178,6.771337778089205,21.446497696157294,Fail
3.8509772860192526,2.529118055562871,3.816092179827253,0.9874671869517104,2.315110444448314,13.4987651528094,Fail
7.094388646339747,8.95669212637893,6.576774337926303,0.4686075577920368,5.004202932051846,28.100665600488863,C
